Date,location,new_cases,new_deaths,total_cases,total_deaths
1/13/2020,World,1,0,60,1
1/14/2020,World,0,0,60,1
1/15/2020,World,1,1,61,2
1/16/2020,World,0,0,61,2
1/17/2020,World,5,0,66,2
1/18/2020,World,17,0,83,2
1/19/2020,World,136,1,219,3
1/20/2020,World,20,0,239,3
1/21/2020,World,153,3,392,6
1/22/2020,World,142,11,534,17
1/23/2020,World,97,0,631,17
1/24/2020,World,266,9,897,26
1/25/2020,World,453,15,1350,41
1/26/2020,World,673,15,2023,56
1/27/2020,World,797,25,2820,81
1/28/2020,World,1767,25,4587,106
1/29/2020,World,1480,26,6067,132
1/30/2020,World,1756,38,7823,170
1/31/2020,World,2003,43,9826,213
2/13/2020,World,15151,255,60328,1370
2/14/2020,World,4215,13,64543,1383
2/15/2020,World,2560,144,67103,1527
2/16/2020,World,2162,142,69265,1669
2/17/2020,World,2067,106,71332,1775
2/18/2020,World,1995,98,73327,1873
2/19/2020,World,1864,139,75191,2012
2/20/2020,World,532,116,75723,2128
2/21/2020,World,996,119,76719,2247
2/22/2020,World,1085,112,77804,2359
2/23/2020,World,1008,104,78812,2463
2/24/2020,World,527,156,79339,2619
2/25/2020,World,793,79,80132,2698
2/26/2020,World,863,64,80995,2762
2/27/2020,World,1106,38,82101,2800
2/28/2020,World,1264,57,83365,2857
2/29/2020,World,1838,64,85203,2921
3/13/2020,World,8355,351,133852,4969
3/14/2020,World,9375,438,143227,5407
3/15/2020,World,11547,354,154774,5761
3/16/2020,World,12644,745,167418,6506
3/17/2020,World,12678,596,180096,7102
3/18/2020,World,14740,789,194836,7891
3/19/2020,World,18314,951,213150,8842
3/20/2020,World,29214,1041,242364,9883
3/21/2020,World,28742,1366,271106,11249
3/22/2020,World,34082,1695,305188,12944
3/23/2020,World,32945,1657,338133,14601
3/24/2020,World,39785,1762,377918,16363
3/25/2020,World,38927,2200,416845,18563
3/26/2020,World,51204,2426,468049,20989
3/27/2020,World,59718,2681,527767,23670
3/28/2020,World,63923,3318,591690,26988
3/29/2020,World,65178,3461,656868,30449
3/30/2020,World,58490,3125,715358,33574
3/31/2020,World,61775,3698,777133,37272
4/13/2020,World,72390,5321,1807303,113513
4/14/2020,World,65962,5339,1873265,118852
4/15/2020,World,75246,7114,1948511,125966
4/16/2020,World,81419,10354,2029930,136320
